# rag-service RAG-MEM-DURABILITY-BAR v2 window — cleaned sample series
# container_id=66656926d503a722aaf223408806a7f0b5fd9fb97e928b5197dd9759365ccaa8
# image=sha256:26e681b0ca3a83c87f7eda787c963d0b7ee18094d805cfbc1862a5db18b3fe8c
# started_at=2026-08-14T20:15:29.147681344Z  restart_count=0  mem_limit_bytes=1073741824
# source=/tmp/rag-durability-measurement/memory-samples.csv (ephemeral; 2391 raw lines, 799 well-formed)
# cleaning=kept only lines matching ^ISO8601,<float>,running$ — raw file corrupted by 3 concurrent samplers writing 2 schemas
# persisted_by=po 2026-08-15T09:5xZ  timestamps strictly monotonic, 0 backward steps
timestamp,used_percent,container_status
2026-08-14T23:33:24Z,45.35,running
2026-08-14T23:34:25Z,45.35,running
2026-08-14T23:35:26Z,45.35,running
2026-08-14T23:36:27Z,49.56,running
2026-08-14T23:37:28Z,51.50,running
2026-08-14T23:38:29Z,92.75,running
2026-08-14T23:39:31Z,85.01,running
2026-08-14T23:40:33Z,85.01,running
2026-08-14T23:41:34Z,85.01,running
2026-08-14T23:42:35Z,85.01,running
2026-08-14T23:43:37Z,85.01,running
2026-08-14T23:44:38Z,85.01,running
2026-08-14T23:45:39Z,85.01,running
2026-08-14T23:46:41Z,85.01,running
2026-08-14T23:47:43Z,85.01,running
2026-08-14T23:48:44Z,85.01,running
2026-08-14T23:49:45Z,85.01,running
2026-08-14T23:50:46Z,85.01,running
2026-08-14T23:51:47Z,85.01,running
2026-08-14T23:52:48Z,85.01,running
2026-08-14T23:53:49Z,31.99,running
2026-08-14T23:54:51Z,32.39,running
2026-08-14T23:55:53Z,32.60,running
2026-08-14T23:56:54Z,32.60,running
2026-08-14T23:57:55Z,32.60,running
2026-08-14T23:58:56Z,32.60,running
2026-08-14T23:59:57Z,32.60,running
2026-08-15T00:00:58Z,32.60,running
2026-08-15T00:02:00Z,32.60,running
2026-08-15T00:03:01Z,32.60,running
2026-08-15T00:04:03Z,32.60,running
2026-08-15T00:05:04Z,32.60,running
2026-08-15T00:06:05Z,32.60,running
2026-08-15T00:07:06Z,32.60,running
2026-08-15T00:08:07Z,32.60,running
2026-08-15T00:09:08Z,32.60,running
2026-08-15T00:10:09Z,32.60,running
2026-08-15T00:11:11Z,88.29,running
2026-08-15T00:12:12Z,88.29,running
2026-08-15T00:13:13Z,88.29,running
2026-08-15T00:14:15Z,94.04,running
2026-08-15T00:15:16Z,92.76,running
2026-08-15T00:16:17Z,92.76,running
2026-08-15T00:17:18Z,93.13,running
2026-08-15T00:18:20Z,93.99,running
2026-08-15T00:19:21Z,93.99,running
2026-08-15T00:20:22Z,93.99,running
2026-08-15T00:21:24Z,93.99,running
2026-08-15T00:22:25Z,93.99,running
2026-08-15T00:23:27Z,93.99,running
2026-08-15T00:24:28Z,93.99,running
2026-08-15T00:25:29Z,93.99,running
2026-08-15T00:26:30Z,94.56,running
