ts,container_id,memory_current_bytes,memory_stat_anon,memory_stat_file,memory_stat_inactive_file,memory_stat_pgscan,memory_stat_pgsteal,memory_stat_workingset_refault_anon,memory_events_max,memory_events_oom,memory_events_oom_kill,vmrss_kib,vmhwm_kib
2026-08-26T09:02:54Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874350080,1546358784,55148544,41947136,398846,208006,59919,1645,0,0,1847548,2842976
2026-08-26T09:07:56Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874612224,1577308160,55148544,41947136,398846,208006,59957,1645,0,0,1875796,2842976
2026-08-26T09:12:57Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874956288,1577398272,55148544,41947136,398846,208006,59957,1645,0,0,1875880,2842976
2026-08-26T09:17:59Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874984960,1577443328,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:23:00Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874989056,1577439232,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:28:01Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874399232,1577435136,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:33:03Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874710528,1577439232,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:38:04Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1875230720,1577435136,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:43:06Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874952192,1577439232,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:48:07Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1874202624,1577443328,55148544,41947136,398846,208006,59963,1645,0,0,1875924,2842976
2026-08-26T09:53:08Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886838784,1598148608,55148544,41947136,398846,208006,59963,1645,0,0,1896144,2842976
2026-08-26T09:58:10Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886375936,1637187584,55148544,41947136,398846,208006,59963,1645,0,0,1934268,2842976
2026-08-26T10:03:11Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886347264,1673773056,55148544,41947136,398846,208006,59963,1645,0,0,1970000,2842976
2026-08-26T10:08:12Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886089216,1692565504,55148544,41947136,398846,208006,59963,1645,0,0,1988348,2842976
2026-08-26T10:13:13Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886588928,1692561408,55148544,41947136,398846,208006,59963,1645,0,0,1988348,2842976
2026-08-26T10:18:15Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886363648,1692561408,55148544,41947136,398846,208006,59963,1645,0,0,1988348,2842976
2026-08-26T10:23:16Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886609408,1692594176,55148544,41947136,398846,208006,59968,1645,0,0,1988380,2842976
2026-08-26T10:28:17Z,417febec1a033ead2cf85ff29219d956617ba8fb839ba6853f29d7203a223021,1886527488,1692925952,55148544,41947136,398846,208006,60004,1645,0,0,1988700,2842976
